states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population,,,,,,,,,
UP,Mahoba,,,,,10,9,,,,,,,,,,,,,4765,8960,,,,,01/10/2021,,,876055,4268,86,4182,142992,444352,148388,0,,,,,,,,,
UP,Unnao,,,,,201,948,,,,,,,,,,,,,26506,41790,,,,,01/10/2021,,,3110595,15011,254,14757,298886,1554190,420513,0,,,,,,,,,
UP,Amroha,,,,,6,8,,,,,,,,,,,,,16080,23048,,,,,13-01-2021,,,1838771,16616,203,16412,254038,871164,265607,0,,,,,,,,,
UP,Bareilly,,,,,6458,255,,5,,,,,,5,1,,1,,68245,64148,1,,,,13-01-2021,,,4465344,44028,377,43650,465209,2221830,749751,6,,,,,,,,,
UP,Moradabad,,,1,,3951,2357,,,,,,,,,,,1,,52013,39070,,,,,13-01-2021,,,4773138,39102,349,38752,400459,1390249,443211,0,,,,,,,,,
UP,Pilibhit,,,,,2,1,,1,,,,,,1,,,,,9611,17989,,,,,13-01-2021,,,2037225,11032,193,10838,291538,978332,256931,1,,,,,,,,,
UP,Sambhal,,,,,1708,411,,,,,,,,,,,,,27630,23914,,,,,13-01-2021,,,2217020,9438,106,9331,309333,893786,204352,0,,,,,,,,,
UP,Shahjahanpur,,,,,3563,969,,,,,,,,,,,,,185421,79519,,,,,13-01-2021,,,3002376,20361,444,19916,437195,1743273,538827,0,,,,,,,,,
UP,Kaushambi,,,,,94,35,,,,,,,,,1,,,,38263,28403,1,,,,14-01-2021,,,1596909,4424,70,4353,207064,760960,218775,1,,,,,,,,,
UP,Pratapgarh,,,,,1796,1482,,1,,,,,,1,,,,,40603,47832,,,,,14-01-2021,,,3173752,16038,163,15875,100500,1480021,456869,1,,,,,,,,,
UP,Prayagraj,,,1,,17,48,,2,,,,,,2,1,,6,,75719,79660,1,,,,14-01-2021,,,5959798,78699,1088,77609,729300,2731341,862244,3,,,,,,,,,
UP,Rampur,,,,,3,1,,,,,,,,,2,,,,23526,28753,2,,,,16-01-2021,,,2335398,11826,148,11676,274288,989666,250420,2,,,,,,,,,
UP,Jaunpur,,,,,209,3689,,,,,,,,,,,2,,41689,67101,,,,,20-01-2021,,,4476072,22584,235,22349,322824,2189622,667013,0,,,,,,,,,
UP,Budaun,,,,,581,417,,,,,,,,,,,,,53729,43678,,,,,23-01-2021,,,3712738,14941,98,14843,224207,1408673,364360,0,,,,,,,,,
UP,Gautam Buddha Nagar,1,,2,,100,816,1,11,,,,,,11,6,,13,,22023,43162,6,,,,24-01-2021,,,1674714,63353,467,62876,675396,1799728,974353,18,,,,,,,,,
UP,Ghaziabad,1,,,,3698,4330,1,4,,,,,,4,3,,2,,47837,71692,3,,,,24-01-2021,,,4661452,55673,461,55207,712611,2247039,1071908,8,,,,,,,,,
UP,Muzaffarnagar,,,,,979,707,,1,,,,,,1,1,,,,15476,38924,1,,,,25-01-2021,,,4138605,31009,269,30737,161704,1264005,467387,2,,,,,,,,,
UP,Sitapur,,,,,81,197,,,,,,,,,,,,,33825,52112,,,,,28-01-2021,,,4474446,12398,185,12211,289473,2139996,497241,0,,,,,,,,,
UP,Mathura,,,,,63,164,,,,,,,,,1,,1,,10807,23027,1,,,,29-01-2021,,,2541894,20297,402,19893,198379,1207578,418117,1,,,,,,,,,
UP,Barabanki,,,,,11,44,,,,,,,,,1,,,,51121,59870,1,,,,30-01-2021,,,3257983,19850,225,19624,147422,1589704,448292,1,,,,,,,,,
UP,Bijnor,,,,,-1,1,,,,,,,,,,,,,27491,53680,,,,,30-01-2021,,,3683896,14794,126,14668,312985,1756682,600482,0,,,,,,,,,
UP,Hardoi,,,,,221,594,,,,,,,,,,,,,29546,66612,,,,,30-01-2021,,,4091380,13755,349,13406,224784,1852490,537647,0,,,,,,,,,
UP,Kushinagar,,,,,211,585,,,,,,,,,,,,,16785,46465,,,,,30-01-2021,,,3560830,15617,228,15389,314772,1632782,458054,0,,,,,,,,,
UP,Lakhimpur Kheri,,,,,1183,1370,,,,,,,,,1,,,,46453,51586,1,,,,30-01-2021,,,4013634,24410,292,24117,368533,1829019,382178,1,,,,,,,,,
UP,Rae Bareli,,,,,576,429,,1,,,,,,1,,,,,33906,46996,,,,,30-01-2021,,,3404004,17104,343,16761,387408,1436175,344694,1,,,,,,,,,
UP,Saharanpur,,,,,6,17,,1,,,,,,1,,,,,19216,33326,,,,,30-01-2021,,,3464228,32730,420,32309,266387,1638111,576986,1,,,,,,,,,
UP,Agra,,,,,178,265,,3,,,,,,3,,,2,,23657,42953,,,,,31-01-2021,,,4380793,25765,457,25308,491361,2172907,746386,3,,,,,,,,,
UP,Aligarh,,,,,9,25,,2,,,,,,2,,,,,34650,57576,,,,,31-01-2021,,,3673849,21280,108,21172,482825,1589498,498586,2,,,,,,,,,
UP,Ambedkar Nagar,,,,,138,145,,,,,,,,,1,,,,21528,32042,1,,,,31-01-2021,,,2398709,5040,152,4885,123151,1135268,349925,1,,,,,,,,,
UP,Amethi,,,,,165,11,,7,,,,,,7,,,2,,19777,37617,,,,,31-01-2021,,,2549935,9972,143,9828,267014,1015454,375261,7,,,,,,,,,
UP,Ayodhya,,,,,217,452,,,,,,,,,,,1,,26036,37279,,,,,31-01-2021,,,2468371,16919,290,16629,376735,1270889,418182,0,,,,,,,,,
UP,Baghpat,,,,,10,52,,,,,,,,,,,,,7829,24151,,,,,31-01-2021,,,1302156,9132,141,8991,327192,692255,337171,0,,,,,,,,,
UP,Bahraich,,,,,648,1565,,,,,,,,,,,,,54069,106010,,,,,31-01-2021,,,2384239,11549,178,11371,308225,1752196,642554,0,,,,,,,,,
UP,Ballia,,,,,86,170,,,,,,,,,,,,,29248,48334,,,,,31-01-2021,,,3223642,21610,234,21376,267420,1433455,388341,0,,,,,,,,,
UP,Balrampur,1,,,,747,630,1,1,,,,,,1,2,,,,21033,56322,2,,,,31-01-2021,,,2149066,7494,138,7354,276237,995084,438892,4,,,,,,,,,
UP,Basti,1,,,,3555,4769,1,,,,,,,,2,,,,24797,39395,2,,,,31-01-2021,,,2461056,11717,330,11385,296570,1189235,399451,3,,,,,,,,,
UP,Bhadohi,,,,,6,7,,1,,,,,,1,,,1,,15479,20211,,,,,31-01-2021,,,1554203,7720,163,7557,119023,793094,244431,1,,,,,,,,,
UP,Chandauli,,,,,192,395,,,,,,,,,,,1,,19998,31247,,,,,31-01-2021,,,1952713,16208,356,15852,211249,939599,238646,0,,,,,,,,,
UP,Deoria,,,,,81,167,,,,,,,,,,,,,29495,67895,,,,,31-01-2021,,,3098637,20223,220,20003,304520,1597034,537293,0,,,,,,,,,
UP,Etah,,,,,475,170,,,,,,,,,,,,,16622,25756,,,,,31-01-2021,,,1761152,9968,99,9868,263295,788675,213371,0,,,,,,,,,
UP,Firozabad,,,,,5881,3105,,,,,,,,,,,,,66838,47728,,,,,31-01-2021,,,2496761,8720,135,8585,322656,1005224,328351,0,,,,,,,,,
UP,Ghazipur,,,,,241,524,,1,,,,,,1,,,2,,22615,43797,,,,,31-01-2021,,,3622727,21641,282,21359,265737,1690195,509886,1,,,,,,,,,
UP,Gonda,,,,,40,1698,,,,,,,,,,,,,22042,51150,,,,,31-01-2021,,,3431386,12282,266,12016,241234,1604382,555773,0,,,,,,,,,
UP,Gorakhpur,,,1,,96,377,,3,,,,,,3,1,,4,,33169,69539,1,,,,31-01-2021,,,4436275,59439,848,58588,480536,2347051,889085,4,,,,,,,,,
UP,Hathras,,,,,,1,,,,,,,,,,,,,16507,25542,,,,,31-01-2021,,,1565678,2920,43,2877,260525,701190,234481,0,,,,,,,,,
UP,Kasganj,,,,,51,29,,,,,,,,,,,,,8148,13675,,,,,31-01-2021,,,1438156,4250,53,4197,271969,608818,147948,0,,,,,,,,,
UP,Maharajganj,,,,,53,316,,1,,,,,,1,,,,,20643,36312,,,,,31-01-2021,,,2665292,12440,140,12300,334716,1283534,372559,1,,,,,,,,,
UP,Mainpuri,,,,,647,1354,,,,,,,,,,,,,31507,37443,,,,,31-01-2021,,,1847194,10028,182,9846,228496,860461,219990,0,,,,,,,,,
UP,Mau,,,,,787,453,,,,,,,,,1,,1,,25202,32390,1,,,,31-01-2021,,,2205170,8333,80,8252,281445,1017497,307052,1,,,,,,,,,
UP,Meerut,1,,,,25,79,1,5,,,,,,5,13,,3,,25100,57600,13,,,,31-01-2021,,,3447405,69480,898,68567,798404,1764744,842448,19,,,,,,,,,
UP,Mirzapur,,,1,,787,419,,,,,,,,,,,1,,24968,41785,,,,,31-01-2021,,,2494533,11088,116,10972,312764,1335308,462157,0,,,,,,,,,
UP,Sant Kabir Nagar,,,,,82,202,,,,,,,,,,,,,44511,26920,,,,,31-01-2021,,,1714300,8159,98,8061,292606,799506,195105,0,,,,,,,,,
UP,Shamli,,,,,24,14,,,,,,,,,,,,,12602,16389,,,,,31-01-2021,,,1274815,12976,45,12931,246597,604968,206438,0,,,,,,,,,
UP,Shrawasti,,,,,37,120,,,,,,,,,,,,,7342,17808,,,,,31-01-2021,,,1114615,4388,35,4353,221566,515155,181654,0,,,,,,,,,
UP,Siddharthnagar,,,,,250,2209,,1,,,,,,1,,,,,18746,53973,,,,,31-01-2021,,,2553526,9373,100,9273,295047,1225133,479630,1,,,,,,,,,
UP,Sonbhadra,,,,,200,157,,,,,,,,,,,,,21438,24430,,,,,31-01-2021,,,1862612,16807,251,16556,306175,812891,236871,0,,,,,,,,,
UP,Sultanpur,,,,,2,18,,,,,,,,,,,,,14962,31247,,,,,31-01-2021,,,3790922,14915,138,14777,309395,1178195,370998,0,,,,,,,,,
UP,Varanasi,,,,,159,441,,2,,,,,,2,2,,1,,38187,55104,2,,,,31-01-2021,,,3682194,85501,971,84528,595510,2109381,843905,4,,,,,,,,,
UT,Almora,,,,,37,416,,,,,,,,,7,,7,,729,10440,7,,,,30-01-2021,,,621927,12190,196,11378,84443,378242,215715,7,,,,,,,,,
UT,Bageshwar,,,,,75,1286,,,,,,,,,1,,,,371,6323,1,,,,30-01-2021,,,259840,5764,60,5678,55626,183447,131244,1,,,,,,,,,
UT,Chamoli,,,,,13,268,,3,,,,,,3,4,,4,,822,11652,4,,,,30-01-2021,,,391114,12242,62,11972,90390,273850,191420,7,,,,,,,,,
UT,Champawat,1,,,,44,613,1,7,,,,,,7,3,,,,754,6007,3,,,,30-01-2021,,,259315,7603,53,7358,95068,183354,119870,11,,,,,,,,,
UT,Dehradun,3,,4,,308,3611,3,28,,,,,,28,30,,24,,5963,49795,30,,,,30-01-2021,,,1698560,112363,3521,108137,401496,1465464,793803,61,,,,,,,,,
UT,Haridwar,1,,,,224,1907,1,5,,,,,,5,10,1,8,,3960,52191,10,,,,30-01-2021,,,1927029,51498,1019,49096,369542,1456257,635360,16,,,,,,,,,
UT,Nainital,,,3,,31,288,,25,,,,,,25,10,,14,,2285,16850,10,,,,30-01-2021,,,955128,39232,944,38140,204422,722854,398680,35,,,,,,,,,
UT,Pauri Garhwal,,,,,25,108,,7,,,,,,7,3,,5,,2116,14253,3,,,,30-01-2021,,,686527,17686,315,16668,138878,431320,229262,10,,,,,,,,,
UT,Pithoragarh,,,1,,89,609,,4,,,,,,4,3,,6,,930,10608,3,,,,30-01-2021,,,485993,10260,181,9962,72686,318644,183765,7,,,,,,,,,
UT,Rudraprayag,,,1,,30,326,,7,,,,,,7,,,3,,416,6212,,,,,30-01-2021,,,236857,8800,106,8535,52378,170911,113480,7,,,,,,,,,
UT,Tehri Garhwal,,,,,12,120,,1,,,,,,1,,,,,2235,15658,,,,,30-01-2021,,,616409,15835,108,14827,105111,381493,206527,1,,,,,,,,,
UT,Udham Singh Nagar,,,,,167,3581,,,,,,,,,,,3,,3588,48283,,,,,30-01-2021,,,1648367,37875,761,36315,337292,1277738,518326,0,,,,,,,,,
UT,Uttarkashi,,,,,12,83,,1,,,,,,1,4,,,,1063,9910,4,,,,30-01-2021,,,329686,12548,74,12129,120026,234425,160687,5,,,,,,,,,
WB,Alipurduar,4,,5,,579,1298,4,26,,,,,,26,31,,35,,38488,29790,31,,,,07/12/2020,,,1700000,15589,102,15441,,949775,353666,61,,,,,,,,,
WB,Bankura,30,,21,,38854,5692,30,83,,,,,,83,161,1,133,,220390,76120,161,,,,13/12/2020,,,3596292,36313,274,35839,,2245147,706177,274,,,,,,,,,
WB,Birbhum,20,,20,,6911,2868,20,51,,,,,,51,176,,102,,99629,84919,176,,,,19/12/2020,,,3502387,41197,286,40727,,2152966,846286,247,,,,,,,,,
WB,Cooch Behar,10,,13,,3386,395,10,82,,,,,,82,77,,93,,122592,26214,77,,,,25/12/2020,,,2822780,29275,97,29060,,1444232,421663,169,,,,,,,,,
WB,Dakshin Dinajpur,14,,16,,724,998,14,80,,,,,,80,111,1,108,,53398,21657,111,,,,31/12/2020,,,1670931,17889,170,17573,,1063493,363056,205,,,,,,,,,
WB,Darjeeling,23,,31,,945,1844,23,160,,,,,,160,189,1,214,,21148,69087,189,,,,06/01/2021,,,1842034,57143,539,56326,,1324555,664306,372,,,,,,,,,
WB,Hooghly,58,,74,,41006,9034,58,358,,,,,,358,472,2,497,,274722,105570,472,,,,12/01/2021,,,5520389,86300,990,84650,,3368156,1343978,888,,,,,,,,,
WB,Howrah,73,,73,,14299,4502,73,344,,,,,,344,518,2,473,,207351,95203,518,,,,18/01/2021,,,4841638,98757,1524,96567,,2905925,1254076,935,,,,,,,,,
WB,Jalpaiguri,16,1,17,,9642,3130,16,110,,,,,,110,102,6,120,,53967,63773,102,,,,24/01/2021,,,3869675,41982,572,41256,,1144138,410719,228,,,,,,,,,
WB,Jhargram,3,,5,,477,700,3,37,,,,,,37,25,,39,,39020,19553,25,,,,30/01/2021,,,1136548,12135,27,12063,,714456,211586,65,,,,,,,,,
WB,Kalimpong,2,,4,,8,429,2,30,,,,,,30,18,,28,,513,10626,18,,,,05/02/2021,,,251642,7036,54,6950,,180713,124420,50,,,,,,,,,
WB,Kolkata,274,6,244,,334,1626,274,1044,,,,,,1044,1843,25,1553,,36977,206020,1843,,,,11/02/2021,,,4486679,322541,5152,315146,,4784084,3039486,3161,,,,,,,,,
WB,Malda,32,,8,,2191,1771,32,58,,,,,,58,77,,51,,227391,55976,77,,,,17/02/2021,,,3997970,33406,186,33121,,2029144,590497,167,,,,,,,,,
WB,Murshidabad,5,,8,,17667,1587,5,31,,,,,,31,48,1,40,,621102,86224,48,,,,23/02/2021,,,7102430,33993,328,33605,,3952659,976111,84,,,,,,,,,
WB,Nadia,31,1,48,,15875,1863,31,228,,,,,,228,302,8,326,,251739,89327,302,,,,01/03/2021,,,5168488,73333,859,72054,,2798942,884320,561,,,,,,,,,
WB,North 24 Parganas,144,6,147,,5231,7658,144,763,,,,,,763,1066,27,961,,235852,241201,1066,,,,07/03/2021,,,10082852,329257,4833,323097,,6547702,2720315,1973,,,,,,,,,
WB,Other State,,,,,,,,,,,,,,,,,,,,,,,,,13/03/2021,,,,66,3,63,,,,0,,,,,,,,,
WB,Paschim Bardhaman,32,,25,,286,786,32,74,,,,,,74,213,1,149,,94473,72103,213,,,,19/03/2021,,,2882031,57778,356,57184,,1789611,677747,319,,,,,,,,,
WB,Paschim Medinipur,26,,28,,6512,1457,26,136,,,,,,136,181,1,198,,270458,66132,181,,,,25/03/2021,,,5094238,53581,507,52820,,2758576,877978,343,,,,,,,,,
WB,Purba Bardhaman,16,,25,,17168,4002,16,132,,,,,,132,147,2,176,,260764,51741,147,,,,31/03/2021,,,4835532,42005,198,41588,,2596246,859528,295,,,,,,,,,
WB,Purba Medinipur,16,,17,,5370,2226,16,65,,,,,,65,94,1,120,,71724,144185,94,,,,06/04/2021,,,4417377,63098,397,62549,,3560589,1471674,175,,,,,,,,,
WB,Purulia,2,,3,,13266,1866,2,9,,,,,,9,17,,21,,159111,40922,17,,,,12/04/2021,,,2927965,19419,113,19283,,1679941,492310,28,,,,,,,,,
WB,South 24 Parganas,75,1,74,,7086,3270,75,267,,,,,,267,542,5,470,,310444,169231,542,,,,18/04/2021,,,8153176,100957,1336,98950,,4850898,1832073,884,,,,,,,,,
WB,Uttar Dinajpur,8,,7,,,,8,25,,,,,,25,43,2,46,,130243,44686,43,,,,24/04/2021,,,3000849,19858,238,19559,,1341457,436182,76,,,,,,,,,
